"Serial #","Building Name","Location","Floor","Installed","Sharp ID #","IP Address","B/W Meter","Colour Meter","Model",,
8504272300,"KENNETH TAYLOR HALL","2nd",221,"Y",44954,"http://130.113.179.106",167451,10187,"MX-3501N",,
8505465600,"KENNETH TAYLOR HALL",502,"5th","Y",45494,"http://130.113.75.103",545684,608,"MX-3501N",,
8505467600,"KTH","B110","bsmt","Y",45896,"http://130.113.6.6",39031,3396,"MX-3501N",,
8500903600,"LIFE SCIENCE","Rm 214","2nd","Y",44759,"http://130.113.248.202",323276,18632,"MX-3501N",,
8504267300,"LIFE SCIENCE",214,"2nd","Y",45503,"http://130.113.248.203",302336,9188,"MX-3501N",,
8506996200,"MARY KEYES",101,"1ST","Y",44869,"http://130.113.124.58",110714,39117,"MX-2700N",,
8505497600,"MARY KEYES","lobby","2ND","Y",45897,"http://130.113.26.35",81679,314,"MX-3501N",,
8505547400,"MCKAY HALL","MAIN LOBBY","1ST","Y",45076,"http://130.113.124.199",52026,2270,"MX-2300N",,
8505774400,"MDCL",3115,"3rd","Y",41279,"http://130.113.148.199",559082,123424,"MX-4501N",,
8506944200,"MDCL",5029,"5TH","Y",41962,"http://130.113.147.90",93420,64296,"MX-2700N",,
8506953200,"MDCL",2103,"2nd","Y",41965,"http://130.113.149.7",233630,20757,"MX-2700N",,
8505102600,"MDCL",3308,"3rd","Y",43850,"http://130.113.145.95",308413,4325,"MX-3501N",,
8505111600,"mdcl",2222,"2nd","Y",43871,"http://130.113.149.147",187080,15510,"MX-3501N",,
8505112600,"MDCL",4021,"4TH","Y",43874,"http://130.113.146.163",195284,63,"MX-3501N",,
8500776600,"MDCL",3500,"3RD","Y",43968,"http://130.113.148.203",367277,26861,"MX-3501N",,
,"MDCL",5077,"5TH","Y",48837,"http://130.113.147.133",72093,,"AR-M207",,
9503184200,"MDCL",2235,"2nd","Y",55924,"http://130.113.149.126",179006,85765,"MX-3100N",,
92113044,"MDCL",2500,"2nd","Y",57289,"http://130.113.149.153",108128,26898,"MX-C311",,
507320400,"MDCL",3120,"3rd","Y",75095192,"http://130.113.145.196",146900,149387,"MX-4501N",,
8507093200,"MILLS LIBRARY","1st","1ST","Y",41994,"http://130.113.232.11",525230,92048,"MX-3501N",,
8507262200,"MILLS LIBRARY","3RD","3RD","Y",41996,"http://130.113.232.56",96685,2987,"MX-3501N",,
8507319200,"MILLS LIBRARY","ADMIN","3rd","Y",41997,"http://130.113.111.243",194490,16441,"MX-3501N",,
8507304200,"MILLS LIBRARY","3RD","3RD","Y",41998,"http://130.113.232.58",235528,10449,"MX-3501N",,
8507093200,"MILLS LIBRARY","1st","1ST","Y",41999,"http://130.113.232.84",537339,65516,"MX-3501N",,
8507093200,"MILLS LIBRARY","1st","1ST","Y",42000,"http://130.113.232.50",355706,13959,"MX-3501N",,
8507093200,"MILLS LIBRARY","1st","1ST","Y",42001,"http://130.113.232.48",356368,14925,"MX-3501N",,
8507093200,"MILLS LIBRARY","BASEMENT ","BSMT","Y",42004,"http://130.113.111.181",160995,34562,"MX-3501N",,
8507093200,"MILLS LIBRARY","MAPS","1ST","Y",42005,"http://130.113.232.59",36455,2481,"MX-3501N",,
8507093200,"MILLS LIBRARY","4th lyons media","4th","Y",42007,"http://130.113.232.40",198165,26265,"MX-3501N",,
8507305200,"MILLS LIBRARY","1st","1ST","Y",42008,"http://130.113.232.36",521049,76730,"MX-3501N",,
8511055600,"MILLS LIBRARY","3rd","3RD","Y",43583,"http://130.113.232.66",85393,3571,"MX-3501N",,
8511019600,"MILLS LIBRARY","ADMIN","1ST","Y",43853,"http://130.113.111.241",267752,57878,"MX-3501N",,
8505529400,"MILLS LIBRARY","L208","2nd","Y",44687,"http://130.113.111.239",180004,74763,"MX-2300N",,
8500176800,"MILLS LIBRARY",501,"5th","Y",48800,"http://130.113.99.49",355522,31364,"MX-5500N",,
8504124500,"MILLS LIBRARY",501,"5th","Y",54067,"http://130.113.99.97",98246,27091,"MX-2700N",,
9211175300,"MILLS LIBRARY","2nd it help desk","2nd","Y",,"http://130.113.111.236",9121,2859,"MX-C310",,
